epoch,train_loss,train_acc,val_loss,val_acc,train_acc_Body-WeightSquats,val_acc_Body-WeightSquats,train_acc_HandstandPushups,val_acc_HandstandPushups,train_acc_HandstandWalking,val_acc_HandstandWalking,train_acc_JumpingJack,val_acc_JumpingJack,train_acc_JumpRope,val_acc_JumpRope,train_acc_Lunges,val_acc_Lunges,train_acc_PullUps,val_acc_PullUps,train_acc_PushUps,val_acc_PushUps,train_acc_TrampolineJumping,val_acc_TrampolineJumping,train_acc_WallPushups,val_acc_WallPushups
1,1.7640256608367726,50.92,1.5591594419981305,77.33333333333333,58.6,56.666666666666664,44.8,75.0,35.4,73.33333333333333,47.4,88.33333333333333,50.0,81.66666666666667,48.8,84.16666666666667,47.2,50.833333333333336,68.6,75.83333333333333,48.4,89.16666666666667,60.0,98.33333333333333
2,1.2535588209796105,69.56,1.1872785907042653,86.5,64.4,64.16666666666667,66.4,75.0,63.4,84.16666666666667,64.8,91.66666666666667,93.8,95.83333333333333,67.0,93.33333333333333,69.8,75.83333333333333,69.4,90.83333333333333,69.6,94.16666666666667,67.0,100.0
3,1.012169180022683,72.78,0.9656708750285601,87.41666666666667,67.6,64.16666666666667,70.0,75.0,68.2,85.0,73.2,91.66666666666667,97.2,100.0,70.4,96.66666666666667,70.0,79.16666666666667,71.0,88.33333333333333,70.8,94.16666666666667,69.4,100.0
4,0.8905881107992427,74.16,0.8662564229024085,87.66666666666667,70.2,64.16666666666667,70.8,75.0,67.0,88.33333333333333,71.2,92.5,91.2,100.0,84.0,94.16666666666667,68.6,79.16666666666667,72.4,86.66666666666667,72.8,96.66666666666667,73.4,100.0
5,0.8233777761079704,75.32,0.7428097928825178,88.58333333333333,70.8,64.16666666666667,70.8,78.33333333333333,73.6,88.33333333333333,71.6,91.66666666666667,82.4,100.0,81.2,99.16666666666667,74.2,80.0,76.2,89.16666666666667,77.0,95.0,75.4,100.0
6,0.7896670344149231,75.98,0.6777101723771346,87.91666666666667,73.2,64.16666666666667,70.8,77.5,71.6,86.66666666666667,72.0,91.66666666666667,83.2,100.0,75.4,96.66666666666667,76.2,75.83333333333333,78.2,88.33333333333333,82.0,98.33333333333333,77.2,100.0
7,0.7630309031647482,75.7,0.6548044893302416,88.08333333333333,76.0,64.16666666666667,73.4,75.83333333333333,73.6,79.16666666666667,66.6,91.66666666666667,76.0,100.0,77.6,100.0,75.0,81.66666666666667,81.8,90.0,78.4,98.33333333333333,78.6,100.0
8,0.7343574445338765,76.4,0.5967497060957708,88.58333333333333,75.8,65.0,73.0,75.83333333333333,73.6,86.66666666666667,70.6,91.66666666666667,75.0,100.0,79.0,97.5,74.6,84.16666666666667,84.0,88.33333333333333,78.4,96.66666666666667,80.0,100.0
9,0.7349054904500391,75.88,0.5537266182272058,88.25,73.2,65.83333333333333,73.0,75.0,76.2,86.66666666666667,70.2,91.66666666666667,74.4,100.0,73.2,97.5,77.4,80.0,82.0,88.33333333333333,81.8,97.5,77.4,100.0
10,0.7307039894116153,75.78,0.5257270296937541,87.91666666666667,77.0,65.0,70.0,75.0,76.6,87.5,67.8,91.66666666666667,74.0,100.0,76.4,95.83333333333333,73.0,77.5,81.4,89.16666666666667,82.4,97.5,79.2,100.0
11,0.6911913860755362,76.86,0.5322188999699918,88.16666666666667,79.4,65.83333333333333,74.6,75.0,73.4,83.33333333333333,70.6,91.66666666666667,75.4,100.0,76.0,99.16666666666667,79.0,79.16666666666667,81.0,90.0,79.4,97.5,79.8,100.0
12,0.7118067120670513,76.18,0.5070724828462851,87.83333333333333,72.6,64.16666666666667,73.2,75.83333333333333,77.8,85.83333333333333,71.4,91.66666666666667,74.4,100.0,73.0,96.66666666666667,76.6,75.83333333333333,85.4,90.0,80.0,98.33333333333333,77.4,100.0
13,0.7075924554448219,75.78,0.480245977640152,88.08333333333333,74.8,65.0,69.2,75.0,74.4,85.0,71.2,91.66666666666667,73.8,100.0,73.6,97.5,76.6,79.16666666666667,85.6,90.0,81.8,97.5,76.8,100.0
14,0.6809240321444857,76.6,0.5021995192295626,88.08333333333333,80.2,64.16666666666667,69.2,75.83333333333333,75.0,85.0,72.8,91.66666666666667,76.4,100.0,74.6,98.33333333333333,76.0,79.16666666666667,83.4,89.16666666666667,81.8,97.5,76.6,100.0
15,0.711050433338068,75.5,0.47263459802458163,88.33333333333333,78.4,64.16666666666667,68.8,75.0,76.4,87.5,72.8,91.66666666666667,72.4,100.0,71.2,96.66666666666667,71.2,80.83333333333333,85.4,89.16666666666667,77.8,98.33333333333333,80.6,100.0
16,0.7107886994720265,75.68,0.47544948109670687,88.0,76.6,64.16666666666667,71.6,75.0,75.2,90.0,70.0,91.66666666666667,74.8,100.0,72.8,95.83333333333333,76.4,79.16666666666667,84.4,86.66666666666667,78.0,97.5,77.0,100.0
17,0.713755318503471,75.28,0.451450377800747,88.41666666666667,73.2,64.16666666666667,72.2,75.0,74.2,90.0,71.4,91.66666666666667,76.8,100.0,74.4,96.66666666666667,73.0,80.0,87.0,89.16666666666667,75.0,97.5,75.6,100.0
18,0.6961825729175738,76.5,0.47180860293538945,87.5,75.2,64.16666666666667,73.4,75.0,77.0,79.16666666666667,69.8,91.66666666666667,78.0,100.0,76.6,96.66666666666667,74.6,79.16666666666667,84.0,89.16666666666667,78.4,100.0,78.0,100.0
19,0.6982601154002415,76.68,0.4609545142830987,87.08333333333333,79.4,65.0,70.4,75.0,79.2,80.83333333333333,70.4,91.66666666666667,75.6,100.0,77.6,97.5,72.2,77.5,83.6,87.5,79.8,95.83333333333333,78.6,100.0
20,0.6912881024419122,76.42,0.46050394777404635,87.25,75.2,64.16666666666667,76.2,75.0,78.6,85.0,71.6,91.66666666666667,73.4,100.0,72.8,95.0,76.4,73.33333333333333,83.8,88.33333333333333,82.4,100.0,73.8,100.0
21,0.7141669784571715,74.92,0.44941475026701627,87.41666666666667,73.6,65.0,72.4,75.0,74.0,84.16666666666667,71.6,91.66666666666667,69.6,100.0,78.6,95.0,74.2,75.0,82.6,88.33333333333333,75.8,100.0,76.8,100.0
22,0.7261134245593077,74.62,0.44678694539164243,87.58333333333333,77.2,65.0,69.0,75.0,75.8,84.16666666666667,67.8,91.66666666666667,73.4,100.0,78.0,95.0,71.8,76.66666666666667,78.6,88.33333333333333,78.0,100.0,76.6,100.0
23,0.6921927169629722,76.24,0.4244846129103711,88.25,77.0,64.16666666666667,71.4,75.0,78.6,89.16666666666667,69.2,91.66666666666667,77.2,100.0,75.4,97.5,73.8,76.66666666666667,82.2,88.33333333333333,81.6,100.0,76.0,100.0
24,0.7003263563487181,75.68,0.4496498051050462,87.33333333333333,77.8,64.16666666666667,70.0,75.0,78.6,83.33333333333333,67.8,91.66666666666667,74.8,100.0,72.8,95.0,75.8,77.5,83.0,86.66666666666667,80.6,100.0,75.6,100.0
25,0.6948257155099492,75.92,0.42796574385934755,88.16666666666667,77.8,65.0,67.4,75.0,76.8,85.0,71.6,91.66666666666667,77.0,100.0,76.8,95.83333333333333,76.6,80.0,80.4,89.16666666666667,80.0,100.0,74.8,100.0
26,0.6656897495127028,77.02,0.4350626310823779,88.58333333333333,76.6,65.0,75.4,75.0,77.4,86.66666666666667,66.6,91.66666666666667,77.8,100.0,79.0,98.33333333333333,80.4,80.83333333333333,81.6,89.16666666666667,79.4,99.16666666666667,76.0,100.0
